Trade #,Type,Date/Time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
121,Entry long,2025-06-23 08:00,Sweep,100902.5,2.660437,268444.7444,11535.6,4.30,20735.84,7.72,-3649.99,-1.36,275114.06,5502.28
122,Exit long,2025-08-01 08:00,TP EMA-Mid (160),115694.5,2.572109,279974.0647,17316.02,6.18,36872.66,13.16,-3885.75,-1.39,292430.1,5848.60
122,Entry long,2025-07-07 00:00,Breakout,108850,2.572109,279974.0647,17316.02,6.18,36872.66,13.16,-3885.75,-1.39,292430.1,5848.60
123,Exit long,2025-08-11 20:00,Hedge (BE),119482.7,2.552547,297281.8758,7402.2,2.49,14833.79,4.99,-2450.27,-0.82,299832.28,5996.65
123,Entry long,2025-08-07 20:00,Breakout,116464.8,2.552547,297281.8758,7402.2,2.49,14833.79,4.99,-2450.27,-0.82,299832.28,5996.65
124,Exit long,2025-08-18 08:00,Stop Loss (HYBRID),115235.4,2.59919,304679.9109,-5463.31,-1.79,3257.54,1.07,-5313.55,-1.74,294368.97,5887.38
124,Entry long,2025-08-16 00:00,Sweep,117221.1,2.59919,304679.9109,-5463.31,-1.79,3257.54,1.07,-5313.55,-1.74,294368.97,5887.38
125,Exit long,2025-08-24 20:00,Stop Loss (HYBRID),114421.4,2.572354,299219.5613,-5183.99,-1.73,2578.37,0.86,-5036.82,-1.68,289185,5783.70
125,Entry long,2025-08-23 00:00,Breakout,116321.3,2.572354,299219.5613,-5183.99,-1.73,2578.37,0.86,-5036.82,-1.68,289185,5783.70
126,Exit long,2025-08-29 12:00,Stop Loss (HYBRID),111186.6,2.600133,294037.8604,-5229.48,-1.78,745.09,0.25,-5084.93,-1.73,283955.5,5679.11
126,Entry long,2025-08-28 16:00,Breakout,113085.7,2.600133,294037.8604,-5229.48,-1.78,745.09,0.25,-5084.93,-1.73,283955.5,5679.11
127,Exit long,2025-09-02 20:00,Stop Loss (HYBRID),108401,2.618556,288811.0155,-5243.26,-1.81,840.17,0.29,-5101.33,-1.77,278712.25,5574.25
127,Entry long,2025-09-02 12:00,Breakout,110294,2.618556,288811.0155,-5243.26,-1.81,840.17,0.29,-5101.33,-1.77,278712.25,5574.25
128,Exit long,2025-09-15 16:00,Hedge (BE),114642.9,2.531612,283570.9233,6373.52,2.25,11815.52,4.16,-3420.22,-1.21,285085.78,5701.72
128,Entry long,2025-09-08 20:00,Breakout,112012,2.531612,283570.9233,6373.52,2.25,11815.52,4.16,-3420.22,-1.21,285085.78,5701.72
129,Exit long,2025-09-25 20:00,Stop Loss (HYBRID),110801.8,2.576278,289940.2516,-4771.71,-1.64,3333.01,1.15,-4628.98,-1.60,280314.06,5606.28
129,Entry long,2025-09-24 16:00,Sweep,112542.3,2.576278,289940.2516,-4771.71,-1.64,3333.01,1.15,-4628.98,-1.60,280314.06,5606.28
